provider,product,gpu_count,vram_gb,vcpus,system_ram_gb,local_storage_tb,price_per_hour_usd
runpod,H200,,141.0,24,276,,3.59
runpod,B200,,180.0,28,283,,4.99
runpod,RTX Pro 6000,,96.0,16,188,,1.89
runpod,H100 NVL,,94.0,16,94,,3.07
runpod,H100 PCIe,,80.0,16,188,,2.39
runpod,H100 SXM,,80.0,20,125,,2.69
runpod,A100 PCIe,,80.0,8,117,,1.39
runpod,A100 SXM,,80.0,16,125,,1.49
runpod,L40S,,48.0,16,94,,0.86
runpod,RTX 6000 Ada,,48.0,10,167,,0.77
runpod,A40,,48.0,9,50,,0.4
runpod,L40,,48.0,8,94,,0.99
runpod,RTX A6000,,48.0,9,50,,0.49
runpod,RTX 5090,,32.0,9,35,,0.89
runpod,L4,,24.0,12,50,,0.39
runpod,RTX 3090,,24.0,16,125,,0.46
runpod,RTX 4090,,24.0,6,41,,0.59
runpod,RTX A5000,,24.0,9,25,,0.27
